label,accuracy_max,accuracy_min,accuracy_avg,accuracy_range,longitude_max,longitude_min,longitude_avg,longitude_range,latitude_max,latitude_min,latitude_avg,latitude_range,altitude_max,altitude_min,altitude_avg,altitude_isnan,seconds_max,seconds_min,seconds_avg,seconds_range,date_nunique,hour_nunique,AVAILABLE,OTW_DROPOFF,OTW_PICKUP,UNAVAILABLE,GO_FOOD,GO_RIDE,pings
1,8.292,0.1,2.550590090090095,8.192,0.00025160000001278604,-0.0017457000000007383,-3.1389140271463943e-06,-0.0006936999999993532,0.0008883000000006191,-0.009958699999999432,-2.5516742081444245e-05,-0.005639199999999178,8.399999999999977,-18.0,-0.24162679425837322,12.0,44.0,5.0,10.099547511312217,2232,1,2,114.0,71.0,35.0,2.0,1,0,222
1,35.213,0.01,5.22017777777778,35.203,0.001419200000000842,-0.0006034999999968704,0.0,0.0,0.00743279999999924,-0.0008514000000001687,0.0,0.0,8.0,-9.0,-0.12408759124087591,42.0,22.0,2.0,10.078212290502794,1804,1,1,35.0,116.0,27.0,2.0,1,0,180
1,57.281000000000006,0.1,4.2176348122866925,57.181000000000004,0.0006874999999979536,-0.0001431000000025051,2.32106164383991e-05,0.006777500000012537,0.010722300000000295,-0.00022000000000144126,6.0550000000000916e-05,0.01768060000000027,49.0,-16.899999999999977,0.18698630136986308,0.0,24.0,6.0,10.092465753424657,2947,1,2,5.0,75.0,211.0,2.0,1,0,293
0,23.848000000000003,3.9,4.9062307692307625,19.948000000000004,0.0005867000000137068,-0.0010265999999745645,-0.00013991551724133982,-0.01623019999999542,0.0009633000000004444,-0.0006683999999994583,7.847844827587104e-05,0.009103500000001041,21.399999999999977,-16.399999999999977,0.16982737574137974,0.0,46.0,4.0,11.14655172413793,1293,1,1,53.0,5.0,59.0,0.0,1,0,117
1,10.505999999999998,0.5,2.651330508474576,10.005999999999998,0.0015797000000077333,-0.010067199999994614,-1.4615384614922405e-06,-0.00017099999999459214,0.0008418999999992849,-0.007495500000000099,7.521367521431978e-07,8.800000000075414e-05,11.72283935500002,-14.167724609000174,-0.006761678066667779,57.0,78.0,1.0,12.88888888888889,1508,1,1,37.0,64.0,16.0,1.0,1,0,118
1,134.304,13.715,35.45512658227848,120.589,0.001412599999994768,-0.00024370000001283643,7.67269230769111e-05,0.005984699999999066,0.00028689999999897964,-0.0009664999999996482,-3.4244871794856614e-05,-0.002671099999998816,16.0,-15.0,0.2054794520547945,5.0,78.0,2.0,10.756410256410257,839,1,1,2.0,0.0,77.0,0.0,1,0,79
1,18.204,0.5,4.938222748815167,17.704,0.0011216999999845711,-0.005647999999993658,0.0,0.0,0.0017507999999999413,-0.015835099999999436,0.0,0.0,17.200012206999986,-17.200012206999986,0.18205143855128186,132.0,207.0,2.0,11.314285714285715,2376,1,2,78.0,82.0,44.0,7.0,1,0,211
1,158.936,0.01,16.34327464788732,158.92600000000002,0.009886700000009796,-0.00043209999999760385,0.0002268156028368923,0.031981000000001814,0.006555400000000766,-0.002072100000000354,7.303049645390983e-05,0.010297300000001286,31.641113282000106,-19.549316406000116,0.7450962611714268,68.0,85.0,2.0,15.900709219858156,2242,1,1,18.0,96.0,25.0,3.0,1,0,142
1,1471.0,3.0,220.42855678670352,1468.0,0.007027600000000689,-0.005917999999994095,0.00011910138888882531,0.042876499999977113,0.0020892000000003463,-0.0014274999999992488,-8.935833333333242e-06,-0.003216899999999967,11.0,-9.0,-0.07591623036649214,161.0,130.0,1.0,10.794444444444444,3886,1,2,46.0,274.0,41.0,0.0,1,0,361
1,7.5,0.1,2.8385895196506596,7.4,0.005265299999990702,-0.003930000000011091,4.062807017540512e-05,0.009263199999992366,0.00693399999999933,-0.0012897000000000602,-1.6020175438595057e-05,-0.0036525999999996728,19.799999999999955,-19.299999999999955,-0.19649122807017524,0.0,47.0,2.0,10.192982456140351,2324,1,2,112.0,95.0,19.0,3.0,1,0,229
